,sbj_id,rot_LT,id,complexity_LT_rot_1,complexity_LT_rot_2,complexity_LT_rot_3,test_novel_word,ans_correct,ans_incompatible,ans_overarching_cat,ans_meaning_swapped,keypress,RT,accuracy,pos_corr_ans,pos_incompat_ans,pos_overCat_ans,pos_meanIncCat_ans,buttonIncom,buttonOverCat,buttonMeanInc
0,55,1,3,lf,sf,hf,mudegare,non fidarsi di complimenti che ti fanno,preparare il pranzo domenicale,non avere fiducia,sopportare qualcuno sgridarti senza reagire in modo eccessivo,2,9.2225942999994,no,"[0, -100]","[0, 0]","[0, 100]","[0, -200]",preparare il pranzo domenicale,x,x
1,55,1,7,sf,hf,lf,clivuno,canzone educativa per bambini,gioco da tavolo matematico,canzone,chiamata promozionale,4,7.431290100001206,yes,"[0, -200]","[0, 0]","[0, -100]","[0, 100]",x,x,x
2,55,1,5,hf,lf,sf,vutuvo,essere imbarazzati causa di azioni di un'altra persona,sentirsi colpevoli per l'opportunità persa,vergogna,essere intelligenti a scegliere la carriera,2,11.251664600000367,yes,"[0, 0]","[0, 100]","[0, -200]","[0, -100]",x,x,x
3,55,1,12,lf,sf,hf,pubbano,taccuino antico restaurato,tazza per il tè ecosostenibile,antiquariato,valigia di lusso di alta moda,2,13.606697799999893,yes,"[0, 0]","[0, 100]","[0, -200]","[0, -100]",x,x,x
4,55,1,16,sf,hf,lf,ceveco,persona che non mangia frutta,persona specializzata in montare recinzioni,persona in dieta,persona che crede nel vivere esclusivamente dalla natura,3,9.735598200000823,no,"[0, -200]","[0, 100]","[0, 0]","[0, -100]",x,x,persona che crede nel vivere esclusivamente dalla natura
5,55,1,2,hf,lf,sf,zudulare,non fidarsi di pettegolezzi ,andare a fare la spesa con la macchina,non credere,non fidarsi di complimenti che ti fanno,3,8.886784899999839,no,"[0, -200]","[0, 0]","[0, 100]","[0, -100]",x,x,non fidarsi di complimenti che ti fanno
6,55,1,15,lf,sf,hf,cridolo,persona che tiene gli altri fuori dalla rissa,persona che fa sempre le vacanza sulle isole tropicali,persona premurosa,persona che non mangia frutta,1,9.77979090000008,yes,"[0, 100]","[0, 0]","[0, -200]","[0, -100]",x,x,x
7,55,1,18,lf,sf,hf,pobedo,persona che gode di lasciare vincere altri,persona che sa cucinare gli insetti,persona gentile,essere stanchi dal non far niente,1,10.023761500000546,no,"[0, -100]","[0, 0]","[0, -200]","[0, 100]",x,x,essere stanchi dal non far niente
8,55,1,14,hf,lf,sf,slibado,fiaba tragica,lampadina portatile per leggere,storia,persona che tiene gli altri fuori dalla rissa,4,10.295585099998789,no,"[0, 100]","[0, -100]","[0, 0]","[0, -200]",x,x,persona che tiene gli altri fuori dalla rissa
9,55,1,13,sf,hf,lf,dorguvo,valigia di lusso di alta moda,finestra vecchia che scricchiola,borsa,fiaba tragica,4,4.505085299999337,yes,"[0, -200]","[0, 0]","[0, 100]","[0, -100]",x,x,x
10,55,1,6,lf,sf,hf,tobufo,essere intelligenti a scegliere la carriera,essere tristi dopo essersi svegliati da un bel sogno,opzione,canzone educativa per bambini,3,11.38615789999858,yes,"[0, -100]","[0, -200]","[0, 0]","[0, 100]",x,x,x
11,55,1,8,hf,lf,sf,vicrazo,chiamata promozionale,telegramma con le buone notizie,offerta,decorazione fatta dal ramo di un albero,4,8.870809199999712,no,"[0, -100]","[0, 100]","[0, 0]","[0, -200]",x,x,decorazione fatta dal ramo di un albero
12,55,1,17,hf,lf,sf,vugipo,persona che crede nel vivere esclusivamente dalla natura,persona che fa i cuscini decorativi,persona che ama la natura,persona che gode di lasciare vincere altri,4,9.141992299999401,yes,"[0, -200]","[0, -100]","[0, 100]","[0, 0]",x,x,x
13,55,1,4,sf,hf,lf,ceburo,essere stanchi dal non far niente,essere contenti per il successo alla competizione,essere stanchi,essere imbarazzati causa di azioni di un'altra persona,1,12.804864100000486,yes,"[0, 100]","[0, -200]","[0, 0]","[0, -100]",x,x,x
14,55,1,10,sf,hf,lf,criboto,capanna sotteranea,negozio dedicato alle cartoline artistiche,baracca,gioiello fatto di ciottoli da spiaggia,3,8.19856929999878,yes,"[0, -100]","[0, -200]","[0, 0]","[0, 100]",x,x,x
15,55,1,9,lf,sf,hf,cettobo,decorazione fatta dal ramo di un albero,pistola decorata con le perle,ornamento,capanna sotteranea,3,6.984250299999985,no,"[0, 100]","[0, 0]","[0, -200]","[0, -100]",x,x,capanna sotteranea
16,55,1,11,hf,lf,sf,mernido,gioiello fatto di ciottoli da spiaggia,biscotto con crema di ananas,gioiello,taccuino antico restaurato,3,7.304572400000325,yes,"[0, -100]","[0, 0]","[0, -200]","[0, 100]",x,x,x
17,55,1,1,sf,hf,lf,rugobare,sopportare qualcuno sgridarti senza reagire in modo eccessivo,sentire qualcuno fare stupidi commenti,permettere,non fidarsi di pettegolezzi ,3,18.440197899999475,yes,"[0, -100]","[0, -200]","[0, 0]","[0, 100]",x,x,x
